trial_name,mean_nse_base,mean_nse_suisun,mean_nse_overall,mean_r2,contrast_weight,feature_layers,freeze_schedule,ndays,dsm2_init_lr,dsm2_main_lr,dsm2_init_epochs,dsm2_main_epochs,schism_init_lr,schism_main_lr,schism_init_epochs,schism_main_epochs,suisun_init_lr,suisun_main_lr,suisun_init_epochs,suisun_main_epochs,mean_nse_dsm2,mean_r2_dsm2
Trial1,0.919,0.8833,0.9011,0.905,1.0,"[{'type': 'GRU', 'units': 36, 'trainable': True, 'name': 'lay1'}, {'type': 'GRU', 'units': 18, 'trainable': True, 'name': 'lay2'}]","[0, 0, 0]",90,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,35,,
Trial2,0.9145,0.8795,0.897,0.9005,1.0,"[{'type': 'GRU', 'units': 36, 'trainable': True, 'name': 'lay1'}, {'type': 'GRU', 'units': 18, 'trainable': True, 'name': 'lay2'}]","[0, 0, 0]",105,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,35,,
Trial3,0.9175,0.8828,0.9002,0.9029,1.0,"[{'type': 'GRU', 'units': 36, 'trainable': True, 'name': 'lay1'}, {'type': 'GRU', 'units': 18, 'trainable': True, 'name': 'lay2'}]","[0, 0, 0]",120,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,35,,
Trial4,0.8977,0.8782,0.888,0.8901,1.0,"[{'type': 'GRU', 'units': 36, 'trainable': True, 'name': 'lay1'}, {'type': 'GRU', 'units': 18, 'trainable': True, 'name': 'lay2'}]","[0, 1, 1]",90,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,35,,
Trial5,0.9117,0.887,0.8994,0.9016,1.0,"[{'type': 'GRU', 'units': 36, 'trainable': True, 'name': 'lay1'}, {'type': 'GRU', 'units': 18, 'trainable': True, 'name': 'lay2'}]","[0, 1, 1]",105,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,35,,
Trial6,0.9087,0.8849,0.8968,0.8991,1.0,"[{'type': 'GRU', 'units': 36, 'trainable': True, 'name': 'lay1'}, {'type': 'GRU', 'units': 18, 'trainable': True, 'name': 'lay2'}]","[0, 1, 1]",120,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,35,,
Trial7,0.8949,0.8763,0.8856,0.8881,1.0,"[{'type': 'GRU', 'units': 36, 'trainable': True, 'name': 'lay1'}, {'type': 'GRU', 'units': 18, 'trainable': True, 'name': 'lay2'}]","[0, 1, 2]",90,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,35,,
Trial8,0.9077,0.8855,0.8966,0.8993,1.0,"[{'type': 'GRU', 'units': 36, 'trainable': True, 'name': 'lay1'}, {'type': 'GRU', 'units': 18, 'trainable': True, 'name': 'lay2'}]","[0, 1, 2]",105,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,35,,
Trial9,0.9083,0.884,0.8962,0.8987,1.0,"[{'type': 'GRU', 'units': 36, 'trainable': True, 'name': 'lay1'}, {'type': 'GRU', 'units': 18, 'trainable': True, 'name': 'lay2'}]","[0, 1, 2]",120,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,35,,
Trial10,0.9081,0.8757,0.8919,0.8966,1.0,"[{'type': 'GRU', 'units': 32, 'trainable': True, 'name': 'lay1'}, {'type': 'GRU', 'units': 16, 'trainable': True, 'name': 'lay2'}]","[0, 0, 0]",90,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,35,,
Trial11,0.9167,0.8843,0.9005,0.9038,1.0,"[{'type': 'GRU', 'units': 32, 'trainable': True, 'name': 'lay1'}, {'type': 'GRU', 'units': 16, 'trainable': True, 'name': 'lay2'}]","[0, 0, 0]",105,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,35,,
Trial12,0.9249,0.8928,0.9089,0.9122,1.0,"[{'type': 'GRU', 'units': 32, 'trainable': True, 'name': 'lay1'}, {'type': 'GRU', 'units': 16, 'trainable': True, 'name': 'lay2'}]","[0, 0, 0]",120,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,35,,
Trial13,0.9046,0.8746,0.8896,0.8923,1.0,"[{'type': 'GRU', 'units': 32, 'trainable': True, 'name': 'lay1'}, {'type': 'GRU', 'units': 16, 'trainable': True, 'name': 'lay2'}]","[0, 1, 1]",90,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,35,,
Trial14,0.9066,0.885,0.8958,0.898,1.0,"[{'type': 'GRU', 'units': 32, 'trainable': True, 'name': 'lay1'}, {'type': 'GRU', 'units': 16, 'trainable': True, 'name': 'lay2'}]","[0, 1, 1]",105,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,35,,
Trial15,0.9057,0.8844,0.895,0.8973,1.0,"[{'type': 'GRU', 'units': 32, 'trainable': True, 'name': 'lay1'}, {'type': 'GRU', 'units': 16, 'trainable': True, 'name': 'lay2'}]","[0, 1, 1]",120,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,35,,
Trial16,0.9051,0.8762,0.8907,0.8934,1.0,"[{'type': 'GRU', 'units': 32, 'trainable': True, 'name': 'lay1'}, {'type': 'GRU', 'units': 16, 'trainable': True, 'name': 'lay2'}]","[0, 1, 2]",90,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,35,,
Trial17,0.9086,0.8888,0.8987,0.9009,1.0,"[{'type': 'GRU', 'units': 32, 'trainable': True, 'name': 'lay1'}, {'type': 'GRU', 'units': 16, 'trainable': True, 'name': 'lay2'}]","[0, 1, 2]",105,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,35,,
Trial18,0.9061,0.8841,0.8951,0.8973,1.0,"[{'type': 'GRU', 'units': 32, 'trainable': True, 'name': 'lay1'}, {'type': 'GRU', 'units': 16, 'trainable': True, 'name': 'lay2'}]","[0, 1, 2]",120,0.008,0.001,10,100,0.003,0.001,10,35,0.001,0.0005,10,35,,
